Время:15:31:22.730160 | Состояние:Подозрение на стресс
Время:15:31:23.230546 | Состояние:Подозрение на стресс
Время:15:31:23.731058 | Состояние:Подозрение на стресс
Время:15:31:24.230050 | Состояние:Подозрение на стресс
Время:15:31:24.730447 | Состояние:Подозрение на стресс
Время:15:31:25.230864 | Состояние:Стресс
Время:15:31:25.731083 | Состояние:Стресс
Время:15:31:26.230533 | Состояние:Стресс
Время:15:31:26.730889 | Состояние:Стресс
Время:15:31:27.230999 | Состояние:Стресс
Время:15:31:27.730191 | Состояние:Стресс
Время:15:31:28.230318 | Состояние:Стресс
Время:15:31:28.730150 | Состояние:Стресс
Время:15:31:29.231005 | Состояние:Стресс
Время:15:31:29.730285 | Состояние:Стресс
Время:15:31:30.230698 | Состояние:Стресс
Время:15:31:30.730204 | Состояние:Стресс
Время:15:31:31.230856 | Состояние:Стресс
Время:15:31:31.730781 | Состояние:Стресс
Время:15:31:32.231080 | Состояние:Стресс
Время:15:31:32.730343 | Состояние:Стресс
Время:15:31:33.230714 | Состояние:Стресс
Время:15:31:33.730277 | Состояние:Стресс
Время:15:31:34.230747 | Состояние:Стресс
Время:15:31:34.730275 | Состояние:Стресс
Время:15:31:35.230185 | Состояние:Стресс
Время:15:31:35.730572 | Состояние:Стресс
Время:15:31:36.230032 | Состояние:Стресс
Время:15:31:36.730572 | Состояние:Стресс
Время:15:31:37.230953 | Состояние:Стресс
Время:15:31:37.730680 | Состояние:Стресс
Время:15:31:38.230278 | Состояние:Стресс
Время:15:31:38.731291 | Состояние:Стресс
Время:15:31:39.231163 | Состояние:Стресс
Время:15:31:39.730893 | Состояние:Стресс
Время:15:31:40.230936 | Состояние:Стресс
Время:15:31:40.730468 | Состояние:Стресс
Время:15:31:41.231091 | Состояние:Стресс
Время:15:31:41.731162 | Состояние:Стресс
Время:15:31:42.230402 | Состояние:Стресс
Время:15:31:42.730303 | Состояние:Стресс
Время:15:31:43.230078 | Состояние:Стресс
Время:15:31:43.731156 | Состояние:Стресс
Время:15:31:44.230815 | Состояние:Стресс
Время:15:31:44.730977 | Состояние:Стресс
Время:15:31:45.230472 | Состояние:Стресс
Время:15:31:45.730461 | Состояние:Стресс
Время:15:31:46.230757 | Состояние:Стресс
Время:15:31:46.731012 | Состояние:Стресс
Время:15:31:47.230917 | Состояние:Стресс
Время:15:31:47.730320 | Состояние:Стресс
Время:15:31:48.231349 | Состояние:Физическая активность
Время:15:31:48.731279 | Состояние:Физическая активность
Время:15:31:49.231036 | Состояние:Физическая активность
Время:15:31:49.730937 | Состояние:Физическая активность
Время:15:31:50.230292 | Состояние:Физическая активность
Время:15:31:50.730172 | Состояние:Физическая активность
Время:15:31:51.230574 | Состояние:Физическая активность
Время:15:31:51.730818 | Состояние:Физическая активность
Время:15:31:52.231468 | Состояние:Физическая активность
Время:15:31:52.730713 | Состояние:Физическая активность
Время:15:31:53.230389 | Состояние:Физическая активность
Время:15:31:53.730583 | Состояние:Физическая активность
Время:15:31:54.230973 | Состояние:Физическая активность
Время:15:31:54.730299 | Состояние:Подозрение на стресс
Время:15:31:55.230857 | Состояние:Подозрение на стресс
Время:15:31:55.730380 | Состояние:Подозрение на стресс
Время:15:31:56.230504 | Состояние:Подозрение на стресс
Время:15:31:56.730492 | Состояние:Подозрение на стресс
Время:15:31:57.230492 | Состояние:Стресс
Время:15:31:57.730085 | Состояние:Стресс
Время:15:31:58.230824 | Состояние:Стресс
Время:15:31:58.730248 | Состояние:Стресс
Время:15:31:59.231161 | Состояние:Стресс
Время:15:31:59.730186 | Состояние:Стресс
Время:15:32:00.230631 | Состояние:Стресс
Время:15:32:00.731447 | Состояние:Стресс
Время:15:32:01.230855 | Состояние:Стресс
Время:15:32:01.730490 | Состояние:Стресс
Время:15:32:02.231119 | Состояние:Стресс
Время:15:32:02.730678 | Состояние:Стресс
Время:15:32:03.231299 | Состояние:Стресс
Время:15:32:03.730850 | Состояние:Стресс
Время:15:32:04.230552 | Состояние:Стресс
Время:15:32:04.730970 | Состояние:Стресс
Время:15:32:05.230486 | Состояние:Стресс
Время:15:32:05.730391 | Состояние:Стресс
Время:15:32:06.230843 | Состояние:Стресс
Время:15:32:06.730220 | Состояние:Стресс
Время:15:32:07.230333 | Состояние:Стресс
Время:15:32:07.730368 | Состояние:Стресс
Время:15:32:08.230893 | Состояние:Стресс
Время:15:32:08.730926 | Состояние:Стресс
Время:15:32:09.230801 | Состояние:Стресс
Время:15:32:09.730040 | Состояние:Стресс
Время:15:32:10.230325 | Состояние:Стресс
Время:15:32:10.730812 | Состояние:Стресс
Время:15:32:11.230964 | Состояние:Стресс
Время:15:32:11.730958 | Состояние:Стресс
Время:15:32:12.230644 | Состояние:Стресс
